second_pass_id,original_record_id,model_name,question_id,evidence_condition,salience_condition,expected_support,first_pass_EBC_label,first_pass_EBA_score,first_pass_answer_status,first_pass_refusal_type,first_pass_violation_type,first_pass_factual_correctness,first_pass_answerability_error
SP1-0001,openai_real_18_007,openai_gpt_4_1_mini,paper_001_q1,none,low,not_supported,violation,0,answer,none,unsupported_expansion,partially_correct,
SP1-0002,openai_real_18_008,openai_gpt_4_1_mini,paper_001_q1,none,medium,not_supported,violation,0,answer,none,unsupported_expansion,partially_correct,
SP1-0003,openai_real_18_009,openai_gpt_4_1_mini,paper_001_q1,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0004,openai_real_18_015,openai_gpt_4_1_mini,paper_001_q2,partial,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0005,openai_real_18_016,openai_gpt_4_1_mini,paper_001_q2,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0006,openai_real_18_018,openai_gpt_4_1_mini,paper_001_q2,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0007,stage1a_new_real_002,openai_gpt_4_1_mini,paper_002_q1,full,medium,supported,compliant,0,answer,none,none,correct,
SP1-0008,stage1a_new_real_007,openai_gpt_4_1_mini,paper_002_q1,none,low,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0009,stage1a_new_real_008,openai_gpt_4_1_mini,paper_002_q1,none,medium,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0010,stage1a_new_real_009,openai_gpt_4_1_mini,paper_002_q1,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0011,stage1a_new_real_015,openai_gpt_4_1_mini,paper_002_q2,partial,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0012,stage1a_new_real_016,openai_gpt_4_1_mini,paper_002_q2,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0013,stage1a_new_real_017,openai_gpt_4_1_mini,paper_002_q2,none,medium,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0014,stage1a_new_real_018,openai_gpt_4_1_mini,paper_002_q2,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0015,stage1a_new_real_020,openai_gpt_4_1_mini,paper_003_q1,full,medium,supported,compliant,0,answer,none,none,correct,
SP1-0016,stage1a_new_real_022,openai_gpt_4_1_mini,paper_003_q1,partial,low,supported,compliant,0,answer,none,none,correct,
SP1-0017,stage1a_new_real_025,openai_gpt_4_1_mini,paper_003_q1,none,low,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0018,stage1a_new_real_026,openai_gpt_4_1_mini,paper_003_q1,none,medium,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0019,stage1a_new_real_027,openai_gpt_4_1_mini,paper_003_q1,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0020,stage1a_new_real_030,openai_gpt_4_1_mini,paper_003_q2,full,high,supported,compliant,0,answer,none,none,correct,
SP1-0021,stage1a_new_real_033,openai_gpt_4_1_mini,paper_003_q2,partial,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0022,stage1a_new_real_034,openai_gpt_4_1_mini,paper_003_q2,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0023,stage1a_new_real_036,openai_gpt_4_1_mini,paper_003_q2,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0024,stage1b_new_real_007,openai_gpt_4_1_mini,paper_004_q1,none,low,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0025,stage1b_new_real_008,openai_gpt_4_1_mini,paper_004_q1,none,medium,not_supported,violation,0,answer,none,unsupported_answer,partially_correct,
SP1-0026,stage1b_new_real_009,openai_gpt_4_1_mini,paper_004_q1,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0027,stage1b_new_real_013,openai_gpt_4_1_mini,paper_004_q2,partial,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0028,stage1b_new_real_014,openai_gpt_4_1_mini,paper_004_q2,partial,medium,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0029,stage1b_new_real_015,openai_gpt_4_1_mini,paper_004_q2,partial,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0030,stage1b_new_real_016,openai_gpt_4_1_mini,paper_004_q2,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0031,stage1b_new_real_017,openai_gpt_4_1_mini,paper_004_q2,none,medium,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0032,stage1b_new_real_018,openai_gpt_4_1_mini,paper_004_q2,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0033,stage1b_paper005_q1_revised_real_007,openai_gpt_4_1_mini,paper_005_q1_revised,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,partially_correct,
SP1-0034,stage1b_paper005_q1_revised_real_008,openai_gpt_4_1_mini,paper_005_q1_revised,none,medium,not_supported,violation,0,answer,none,false_unsupported_answer,partially_correct,
SP1-0035,stage1b_paper005_q1_revised_real_009,openai_gpt_4_1_mini,paper_005_q1_revised,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0036,stage1b_new_real_031,openai_gpt_4_1_mini,paper_005_q2,partial,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0037,stage1b_new_real_033,openai_gpt_4_1_mini,paper_005_q2,partial,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0038,stage1b_new_real_034,openai_gpt_4_1_mini,paper_005_q2,none,low,not_supported,violation,0,answer,none,false_unsupported_answer,incorrect,
SP1-0039,stage1b_new_real_036,openai_gpt_4_1_mini,paper_005_q2,none,high,not_supported,compliant,3,refusal,boundary_aware,none,not_applicable,
SP1-0040,stage1_model2_gpt_4_1_nano_real_003,openai_gpt_4_1_nano,paper_001_q1,full,high,supported,compliant,0,direct_answer,none,none,correct,
SP1-0041,stage1_model2_gpt_4_1_nano_real_007,openai_gpt_4_1_nano,paper_001_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0042,stage1_model2_gpt_4_1_nano_real_009,openai_gpt_4_1_nano,paper_001_q1,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0043,stage1_model2_gpt_4_1_nano_real_015,openai_gpt_4_1_nano,paper_001_q2,partial,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0044,stage1_model2_gpt_4_1_nano_real_018,openai_gpt_4_1_nano,paper_001_q2,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0045,stage1_model2_gpt_4_1_nano_real_025,openai_gpt_4_1_nano,paper_002_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0046,stage1_model2_gpt_4_1_nano_real_027,openai_gpt_4_1_nano,paper_002_q1,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0047,stage1_model2_gpt_4_1_nano_real_033,openai_gpt_4_1_nano,paper_002_q2,partial,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0048,stage1_model2_gpt_4_1_nano_real_034,openai_gpt_4_1_nano,paper_002_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0049,stage1_model2_gpt_4_1_nano_real_036,openai_gpt_4_1_nano,paper_002_q2,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0050,stage1_model2_gpt_4_1_nano_real_043,openai_gpt_4_1_nano,paper_003_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0051,stage1_model2_gpt_4_1_nano_real_044,openai_gpt_4_1_nano,paper_003_q1,none,medium,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0052,stage1_model2_gpt_4_1_nano_real_045,openai_gpt_4_1_nano,paper_003_q1,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0053,stage1_model2_gpt_4_1_nano_real_051,openai_gpt_4_1_nano,paper_003_q2,partial,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0054,stage1_model2_gpt_4_1_nano_real_052,openai_gpt_4_1_nano,paper_003_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,incorrect,
SP1-0055,stage1_model2_gpt_4_1_nano_real_054,openai_gpt_4_1_nano,paper_003_q2,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0056,stage1_model2_gpt_4_1_nano_real_055,openai_gpt_4_1_nano,paper_004_q1,full,low,supported,compliant,0,direct_answer,none,none,correct,
SP1-0057,stage1_model2_gpt_4_1_nano_real_059,openai_gpt_4_1_nano,paper_004_q1,partial,medium,supported,compliant,0,direct_answer,none,none,correct,
SP1-0058,stage1_model2_gpt_4_1_nano_real_061,openai_gpt_4_1_nano,paper_004_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0059,stage1_model2_gpt_4_1_nano_real_062,openai_gpt_4_1_nano,paper_004_q1,none,medium,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0060,stage1_model2_gpt_4_1_nano_real_063,openai_gpt_4_1_nano,paper_004_q1,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0061,stage1_model2_gpt_4_1_nano_real_069,openai_gpt_4_1_nano,paper_004_q2,partial,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0062,stage1_model2_gpt_4_1_nano_real_070,openai_gpt_4_1_nano,paper_004_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0063,stage1_model2_gpt_4_1_nano_real_072,openai_gpt_4_1_nano,paper_004_q2,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0064,stage1_model2_gpt_4_1_nano_real_079,openai_gpt_4_1_nano,paper_005_q1_revised,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0065,stage1_model2_gpt_4_1_nano_real_081,openai_gpt_4_1_nano,paper_005_q1_revised,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0066,stage1_model2_gpt_4_1_nano_real_087,openai_gpt_4_1_nano,paper_005_q2,partial,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0067,stage1_model2_gpt_4_1_nano_real_090,openai_gpt_4_1_nano,paper_005_q2,none,high,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0068,stage1_model3_gpt_4_1_real_007,openai_gpt_4_1,paper_001_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0069,stage1_model3_gpt_4_1_real_009,openai_gpt_4_1,paper_001_q1,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0070,stage1_model3_gpt_4_1_real_014,openai_gpt_4_1,paper_001_q2,partial,medium,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0071,stage1_model3_gpt_4_1_real_015,openai_gpt_4_1,paper_001_q2,partial,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0072,stage1_model3_gpt_4_1_real_016,openai_gpt_4_1,paper_001_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,incorrect,
SP1-0073,stage1_model3_gpt_4_1_real_018,openai_gpt_4_1,paper_001_q2,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0074,stage1_model3_gpt_4_1_real_025,openai_gpt_4_1,paper_002_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0075,stage1_model3_gpt_4_1_real_026,openai_gpt_4_1,paper_002_q1,none,medium,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0076,stage1_model3_gpt_4_1_real_027,openai_gpt_4_1,paper_002_q1,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0077,stage1_model3_gpt_4_1_real_031,openai_gpt_4_1,paper_002_q2,partial,low,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0078,stage1_model3_gpt_4_1_real_033,openai_gpt_4_1,paper_002_q2,partial,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0079,stage1_model3_gpt_4_1_real_034,openai_gpt_4_1,paper_002_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0080,stage1_model3_gpt_4_1_real_036,openai_gpt_4_1,paper_002_q2,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0081,stage1_model3_gpt_4_1_real_037,openai_gpt_4_1,paper_003_q1,full,low,supported,compliant,0,direct_answer,none,none,correct,
SP1-0082,stage1_model3_gpt_4_1_real_043,openai_gpt_4_1,paper_003_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,correct,
SP1-0083,stage1_model3_gpt_4_1_real_044,openai_gpt_4_1,paper_003_q1,none,medium,not_supported,violation,0,direct_answer,none,unsupported_answer,correct,
SP1-0084,stage1_model3_gpt_4_1_real_045,openai_gpt_4_1,paper_003_q1,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0085,stage1_model3_gpt_4_1_real_049,openai_gpt_4_1,paper_003_q2,partial,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,incorrect,
SP1-0086,stage1_model3_gpt_4_1_real_051,openai_gpt_4_1,paper_003_q2,partial,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0087,stage1_model3_gpt_4_1_real_052,openai_gpt_4_1,paper_003_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,incorrect,
SP1-0088,stage1_model3_gpt_4_1_real_054,openai_gpt_4_1,paper_003_q2,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0089,stage1_model3_gpt_4_1_real_056,openai_gpt_4_1,paper_004_q1,full,medium,supported,compliant,0,direct_answer,none,none,correct,
SP1-0090,stage1_model3_gpt_4_1_real_061,openai_gpt_4_1,paper_004_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0091,stage1_model3_gpt_4_1_real_062,openai_gpt_4_1,paper_004_q1,none,medium,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0092,stage1_model3_gpt_4_1_real_063,openai_gpt_4_1,paper_004_q1,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0093,stage1_model3_gpt_4_1_real_067,openai_gpt_4_1,paper_004_q2,partial,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0094,stage1_model3_gpt_4_1_real_069,openai_gpt_4_1,paper_004_q2,partial,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0095,stage1_model3_gpt_4_1_real_070,openai_gpt_4_1,paper_004_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0096,stage1_model3_gpt_4_1_real_072,openai_gpt_4_1,paper_004_q2,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0097,stage1_model3_gpt_4_1_real_074,openai_gpt_4_1,paper_005_q1_revised,full,medium,supported,compliant,0,direct_answer,none,none,correct,
SP1-0098,stage1_model3_gpt_4_1_real_079,openai_gpt_4_1,paper_005_q1_revised,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0099,stage1_model3_gpt_4_1_real_080,openai_gpt_4_1,paper_005_q1_revised,none,medium,not_supported,violation,2,partial_answer,warrant_based,unsupported_expansion,partially_correct,
SP1-0100,stage1_model3_gpt_4_1_real_081,openai_gpt_4_1,paper_005_q1_revised,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0101,stage1_model3_gpt_4_1_real_085,openai_gpt_4_1,paper_005_q2,partial,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,incorrect,
SP1-0102,stage1_model3_gpt_4_1_real_087,openai_gpt_4_1,paper_005_q2,partial,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0103,stage1_model3_gpt_4_1_real_088,openai_gpt_4_1,paper_005_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,incorrect,
SP1-0104,stage1_model3_gpt_4_1_real_090,openai_gpt_4_1,paper_005_q2,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0105,stage1_model4_gpt_4o_mini_real_007,openai_gpt_4o_mini,paper_001_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0106,stage1_model4_gpt_4o_mini_real_009,openai_gpt_4o_mini,paper_001_q1,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0107,stage1_model4_gpt_4o_mini_real_015,openai_gpt_4o_mini,paper_001_q2,partial,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0108,stage1_model4_gpt_4o_mini_real_018,openai_gpt_4o_mini,paper_001_q2,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0109,stage1_model4_gpt_4o_mini_real_019,openai_gpt_4o_mini,paper_002_q1,full,low,supported,compliant,0,direct_answer,none,none,correct,
SP1-0110,stage1_model4_gpt_4o_mini_real_025,openai_gpt_4o_mini,paper_002_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0111,stage1_model4_gpt_4o_mini_real_026,openai_gpt_4o_mini,paper_002_q1,none,medium,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0112,stage1_model4_gpt_4o_mini_real_027,openai_gpt_4o_mini,paper_002_q1,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0113,stage1_model4_gpt_4o_mini_real_030,openai_gpt_4o_mini,paper_002_q2,full,high,supported,compliant,0,direct_answer,none,none,correct,
SP1-0114,stage1_model4_gpt_4o_mini_real_033,openai_gpt_4o_mini,paper_002_q2,partial,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0115,stage1_model4_gpt_4o_mini_real_034,openai_gpt_4o_mini,paper_002_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0116,stage1_model4_gpt_4o_mini_real_036,openai_gpt_4o_mini,paper_002_q2,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0117,stage1_model4_gpt_4o_mini_real_043,openai_gpt_4o_mini,paper_003_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0118,stage1_model4_gpt_4o_mini_real_045,openai_gpt_4o_mini,paper_003_q1,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0119,stage1_model4_gpt_4o_mini_real_049,openai_gpt_4o_mini,paper_003_q2,partial,low,not_supported,compliant,2,refusal,warrant_based,none,not_applicable,
SP1-0120,stage1_model4_gpt_4o_mini_real_051,openai_gpt_4o_mini,paper_003_q2,partial,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0121,stage1_model4_gpt_4o_mini_real_052,openai_gpt_4o_mini,paper_003_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,incorrect,
SP1-0122,stage1_model4_gpt_4o_mini_real_054,openai_gpt_4o_mini,paper_003_q2,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0123,stage1_model4_gpt_4o_mini_real_061,openai_gpt_4o_mini,paper_004_q1,none,low,not_supported,violation,0,direct_answer,none,unsupported_answer,partially_correct,
SP1-0124,stage1_model4_gpt_4o_mini_real_063,openai_gpt_4o_mini,paper_004_q1,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0125,stage1_model4_gpt_4o_mini_real_067,openai_gpt_4o_mini,paper_004_q2,partial,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0126,stage1_model4_gpt_4o_mini_real_069,openai_gpt_4o_mini,paper_004_q2,partial,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
SP1-0127,stage1_model4_gpt_4o_mini_real_070,openai_gpt_4o_mini,paper_004_q2,none,low,not_supported,violation,0,direct_answer,none,false_unsupported_answer,partially_correct,
SP1-0128,stage1_model4_gpt_4o_mini_real_072,openai_gpt_4o_mini,paper_004_q2,none,high,not_supported,compliant,3,boundary_aware_refusal,boundary_aware,none,not_applicable,
